Orig_Inv_Ttl_Prod_Value,DateTransactionJulian,DateInvoiceJulian,Total_Credit,Orig_Inv_Total_Due,Reference1,NameAlpha,State,City,ZipCodePostal,Country,City99,Return_By_State,Return_By_Zip,Return_Country,Error_Desc
14.27,2019-05-11,2019-05-10,12.843,14.27,WPS100182200085,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,PIttsburgh,PA,15275,USA,
1175.38,2019-05-11,2019-05-10,1057.842,1175.38,WGC100204750115,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,USA,
419.28,2017-06-10,2017-06-09,377.352,419.28,WPS100173850041,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,PIttsburgh,PA,15275,RW0,
1757.3,2017-06-10,2017-06-09,1581.57,1757.3,WGC100140270052,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
1421.77,2017-06-10,2017-06-09,1279.593,1421.77,WGC100140270055,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
0.81,2017-06-10,2017-06-09,0.729,0.81,WGC100140270214,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,RW0,
132.61,2019-05-11,2019-05-10,119.34900000000002,132.61,SNC100209250002,SMITH DRUG COMPANY,SC,SPARTANBURG,29301,USA,Spartanburg,SC,293011134,USA,
41039.57,2019-05-24,2019-05-23,36935.613,41039.57,PAH06-224372-249293,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,SHAKOPEE,MN,55379,USA,
140.88,2017-06-13,2017-06-12,126.792,140.88,GPS100175400020,McKesson General Medical Corp,CA,Chino,91708,USA,Cincinnati,OH,452401642,RD0,
83146.84,2019-06-01,2019-05-31,74832.156,83146.84,PAG06-224424-249293,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,SHAKOPEE,MN,55379,USA,
0.0,2019-05-18,2019-05-17,0.0,0.0,039105834,AMERISOURCEBERGEN DRUG CORPORATION,GA,BUFORD,30518,USA,BUFORD,GA,30518,USA,
0.0,2019-07-16,2019-07-15,0.0,0.0,512019ALF,ROCHESTER DRUG CO-OPERATIVE INC,NY,ROCHESTER,14624,USA,ALFRED,NY,148021011,USA,
0.0,2017-07-04,2017-07-03,0.0,0.0,93287,MCKESSON CORPORATION,OK,OKLAHOMA CITY,73179,USA,PAMPA,TX,790660399,AK1,
0.0,2017-06-22,2017-06-21,0.0,0.0,172908,AmerisourceBergen Drug Corp,TX,ROANOKE,762626336,USA,GROESBECK,TX,76642,FG3,
0.0,2017-06-22,2017-06-21,0.0,0.0,7728608,MCKESSON CORPORATION,TX,Conroe,77303,USA,KINGSLAND,TX,786390004,FK3,
35.69,2019-05-18,2019-05-17,32.120999999999995,35.69,WGC100204760281,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,DEERFIELD,IL,60015,USA,
60.86,2019-05-21,2019-05-20,54.774,60.86,SAM100205950208,AMERISOURCEBERGEN DRUG CORPORATION,MN,SHAKOPEE,55379,USA,Bentonville,AR,72716,USA,
471.0,2019-07-17,2019-07-16,423.9,471.0,4172019SHE,ROCHESTER DRUG CO-OPERATIVE INC,NY,ROCHESTER,14624,USA,SCRANTON,PA,185031674,USA,
25.74,2019-05-31,2019-05-30,23.166,25.74,QCR01226043101905,Cardinal Health (Hospital/Instituti,IL,AURORA,605029418,USA,AURORA,IL,605029418,USA,
195.0,2019-05-23,2019-05-22,175.5,195.0,HCA100198920007,H D SMITH CARSON-CA,CA,CARSON,90746,USA,CARSON,CA,90746,USA,
630.8,2019-05-23,2019-05-22,567.7199999999999,630.8,HKY100199560005,H D SMITH LOUISVILLE-KY,KY,LOUISVILLE,40228,USA,LOUISVILLE,KY,40228,USA,
2901.2,2019-05-23,2019-05-22,2611.08,2901.2,HKY100199560024,H D SMITH LOUISVILLE-KY,KY,LOUISVILLE,40228,USA,LOUISVILLE,KY,40228,USA,
627.62,2019-05-23,2019-05-22,564.858,627.62,HTX100200390031,H D SMITH FLOWER MOUNT-TX,TX,FLOWER MOUND,75028,USA,Flower Mound,TX,75028,USA,
120.89,2019-05-23,2019-05-22,108.801,120.89,HCA100198920138,H D SMITH CARSON-CA,CA,CARSON,90746,USA,CARSON,CA,90746,USA,
764.98,2017-06-17,2017-06-16,688.482,764.98,VGA100167590159,SMITH DRUG COMPANY,GA,VALDOSTA,316011206,USA,Valdosta,GA,316011206,RS0,
